id,short_code,name,classification,type,size,color,description_main,description_extra,manufacturer,part_number
hardware_screw_countersunk_m3_black_25_mm_length_hex_head,cs3b25h,Hardware Screw Countersunk M3 Black 25 mm Length Hex Head,hardware,screw_countersunk,m3,black,25_mm_length,hex_head,,
hardware_screw_countersunk_m4_black_25_mm_length_hex_head,cs4b25h,Hardware Screw Countersunk M4 Black 25 mm Length Hex Head,hardware,screw_countersunk,m4,black,25_mm_length,hex_head,,
hardware_screw_socket_cap_m3_black_25_mm_length_hex_head,sc3b25h,Hardware Screw Socket Cap M3 Black 25 mm Length Hex Head,hardware,screw_socket_cap,m3,black,25_mm_length,hex_head,,
hardware_screw_socket_cap_m4_black_25_mm_length_hex_head,sc4b25h,Hardware Screw Socket Cap M4 Black 25 mm Length Hex Head,hardware,screw_socket_cap,m4,black,25_mm_length,hex_head,,
hardware_set_screw_m6_25_mm_length,ss625,Hardware Set Screw M6 25 mm Length,hardware,set_screw,m6,,25_mm_length,,,
