id,short_code,name,type,description_main,description_only_numbers1151M390060,part_number_distributor_orbital_fasteners,webpage_distributor_orbital_fasteners,part_number_manufacturer_metalmate,webpage_manufacturer_metalmate,price_current,name_manufacturer_metalmate
hardware_screw_countersunk_m3_black_25_mm_length_hex_head,cs3b25h,Hardware Screw Countersunk M3 Black 25 mm Length Hex Head,screw_countersunk,25_mm_length,,1901051,https://www.orbitalfasteners.co.uk/products/m3-x-25-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,1151M390025,https://www.harclob2b.com/m3-x-25-socket-csk-screw-gr10-9-self-colour-din-79-1151m390025,0.0235,M3 x 25 Socket Csk Screw Gr10.9 Self Colour DIN 7991 165
hardware_screw_countersunk_m4_black_25_mm_length_hex_head,cs4b25h,Hardware Screw Countersunk M4 Black 25 mm Length Hex Head,screw_countersunk,25_mm_length,,1901110,https://www.orbitalfasteners.co.uk/products/m4-x-25-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,1151M450025,https://www.harclob2b.com/m4-x-25-socket-csk-screw-gr10-9-self-colour-din-79-1151m450025,missing_value,M4 x 25 Socket Csk Screw Gr10.9 Self Colour DIN 7991 165
hardware_screw_socket_cap_m3_black_25_mm_length_hex_head,sc3b25h,Hardware Screw Socket Cap M3 Black 25 mm Length Hex Head,screw_socket_cap,25_mm_length,,1891052,https://www.orbitalfasteners.co.uk/products/m3-x-25-socket-cap-screw-high-tensile-grade-12-9-self-colour-,1150M390025,https://www.harclob2b.com/m3-x-25-socket-cap-screw-gr12-9-self-colour-din-91-1150m390025,0.0266,M3 x 25 Socket Cap Screw Gr12.9 Self Colour DIN 912 150
hardware_screw_socket_cap_m4_black_25_mm_length_hex_head,sc4b25h,Hardware Screw Socket Cap M4 Black 25 mm Length Hex Head,screw_socket_cap,25_mm_length,,1891120,https://www.orbitalfasteners.co.uk/products/m4-x-25-socket-cap-screw-high-tensile-grade-12-9-self-colour,,,0.0235,
hardware_set_screw_m6_25_mm_length,ss625,Hardware Set Screw M6 25 mm Length,set_screw,25_mm_length,,1851190,https://www.orbitalfasteners.co.uk/products/m6-x-25-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,Z0318M490025,https://www.harclob2b.com/m6-x-25-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490025,0.0379,M6 x 25 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017)
